City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Koshurnikovo,RU,88,1540523153,62,54.3,93.39,32.84,2.62
Araouane,ML,8,1540523154,28,18.9,-3.53,72.44,10.0
Gwanda,ZW,0,1540523154,75,-20.94,29.0,52.86,4.52
Sambava,MG,100,1540523154,100,-14.27,50.17,72.66,14.7
Cabedelo,BR,40,1540519200,94,-6.97,-34.84,75.2,5.82
Alihe,CN,92,1540523155,88,50.57,123.73,30.18,11.23
Senges,BR,100,1540522974,99,-24.11,-49.46,64.74,3.18
Wagar,US,92,1540523155,97,31.44,-87.99,64.97,7.65
Okha,RU,76,1540523155,71,53.59,142.95,40.35,26.89
Bethel,US,90,1540518780,86,60.79,-161.76,37.4,10.29
Hobart,AU,40,1540521000,41,-42.88,147.33,59.0,6.93
Cayenne,GF,20,1540521000,88,4.94,-52.33,77.0,7.43
Puerto Cabezas,NI,20,1540523157,93,14.04,-83.39,82.79,12.46
Birin,SY,92,1540523157,98,35.01,36.67,54.93,16.37
Paita,PE,8,1540523158,86,-5.09,-81.11,64.43,8.21
Touros,BR,92,1540523158,90,-5.2,-35.46,77.34,11.79
Eureka,US,1,1540521300,100,40.8,-124.16,53.6,1.05
Babu,CN,88,1540523159,85,23.23,104.89,62.36,3.29
Faya,SA,20,1540519200,87,18.39,42.45,60.8,1.28
Ribeira Grande,PT,88,1540523188,99,38.52,-28.7,68.39,14.03
Amapa,HN,20,1540519200,83,15.09,-87.97,78.8,4.7
Kalangala,UG,75,1540521000,88,-0.32,32.29,71.6,13.87
Margate,AU,40,1540521000,41,-43.03,147.26,59.0,6.93
Constitucion,MX,5,1540518120,55,23.99,-104.67,60.8,5.82
Saint George,GR,0,1540518600,73,39.45,22.34,41.0,2.39
Roald,NO,36,1540522200,93,62.58,6.12,37.4,6.93
The Valley,AI,20,1540519200,78,18.22,-63.06,80.6,2.24
Padang,ID,20,1540523163,100,-0.92,100.36,82.34,3.85
Hanna,CA,64,1540523163,61,51.64,-111.93,39.32,4.29
Georgetown,GY,0,1540519200,94,6.8,-58.16,77.0,4.7
Mahebourg,MU,40,1540519200,82,-20.41,57.7,68.0,1.12
Mayaky,UA,56,1540523164,91,47.44,29.56,45.44,14.81
Saskylakh,RU,80,1540523132,82,71.97,114.09,13.04,8.99
Bam,IR,0,1540523164,72,29.11,58.36,50.66,2.51
Avarua,CK,90,1540519200,94,-21.21,-159.78,71.6,10.29
Dingle,PH,0,1540523165,60,11.0,122.67,88.01,8.99
Ust-Omchug,RU,92,1540523165,92,61.13,149.63,31.26,3.96
Sao Joao da Barra,BR,92,1540522649,100,-21.64,-41.05,72.3,20.85
Nhulunbuy,AU,20,1540521000,52,-12.18,136.78,87.8,12.75
Yellowknife,CA,40,1540519200,86,62.45,-114.38,33.8,10.29
Imbituba,BR,90,1540519200,100,-28.24,-48.67,68.0,13.8
Sirjan,IR,8,1540523167,78,29.44,55.67,44.85,5.75
Deputatskiy,RU,44,1540523167,64,69.3,139.9,-9.29,2.73
Fairview,US,1,1540522560,56,40.81,-74.0,44.6,8.1
Qaanaaq,GL,68,1540523168,100,77.48,-69.36,11.24,12.24
Ponta do Sol,BR,20,1540523168,93,-20.63,-46.0,62.85,2.39
Innisfail,CA,20,1540519200,52,52.02,-113.95,42.8,4.7
Ratnagiri,IN,36,1540523169,98,16.98,73.3,83.46,5.97
Namibe,AO,8,1540523134,95,-15.19,12.15,76.58,8.77
Newala,TZ,0,1540523170,87,-10.94,39.28,65.69,3.74
Sao Filipe,CV,24,1540522672,100,14.9,-24.5,78.06,10.78
Ketchikan,US,90,1540518960,81,55.34,-131.65,53.6,9.17
Airai,TL,0,1540523103,42,-8.93,125.41,86.7,1.61
Port Alfred,ZA,92,1540523171,98,-33.59,26.89,68.39,10.33
Magadan,RU,90,1540521000,100,59.56,150.8,41.0,20.13
Maceio,BR,40,1540522800,83,-9.67,-35.74,77.0,6.93
Gimli,CA,88,1540523171,94,50.63,-96.99,45.75,9.78
Talnakh,RU,80,1540523172,99,69.49,88.39,23.03,8.21
Bredasdorp,ZA,80,1540519200,82,-34.53,20.04,64.4,1.12
Muskegon,US,1,1540521660,80,43.23,-86.25,42.8,3.36
Westport,IE,12,1540523172,94,53.8,-9.52,45.53,20.29
Nuuk,GL,80,1540522200,58,64.17,-51.74,26.6,18.34
Dikson,RU,32,1540523173,100,73.51,80.55,24.74,21.07
Neumunster,DE,75,1540522200,87,54.07,9.98,48.2,6.93
Mindelo,PT,40,1540521000,100,41.31,-8.72,55.4,1.39
Praia da Vitoria,PT,40,1540519200,88,38.73,-27.07,66.2,16.49
East London,ZA,64,1540523174,100,-33.02,27.91,70.37,15.93
Malanje,AO,68,1540523175,79,-9.54,16.35,64.56,3.18
Lyuban,BY,88,1540523106,93,52.8,28.0,36.03,7.54
Maniwaki,CA,56,1540523175,88,46.38,-75.98,29.91,4.41
Hvide Sande,DK,92,1540522200,93,56.01,8.13,46.4,5.82
Esperance,TT,20,1540519200,88,10.24,-61.45,78.8,8.05
Sao Jose da Coroa Grande,BR,24,1540523177,97,-8.9,-35.15,75.0,7.76
Prigen,ID,24,1540523177,61,-7.7,112.63,82.56,1.05
Myitkyina,MM,0,1540523032,86,25.38,97.4,75.77,2.28
Virginia Beach,US,1,1540522440,75,36.85,-75.98,48.2,3.62
Guerrero Negro,MX,0,1540523058,95,27.97,-114.04,66.81,8.32
Bambous Virieux,MU,40,1540519200,82,-20.34,57.76,68.0,1.12
Contamana,PE,64,1540523178,94,-7.35,-75.01,76.67,1.72
Oil City,US,1,1540522560,86,41.43,-79.71,37.4,3.36
Leninsk-Kuznetskiy,RU,0,1540521000,59,54.66,86.17,37.4,4.47
Panguna,PG,80,1540523179,81,-6.32,155.48,83.01,4.07
Veraval,FR,90,1540521000,81,49.65,0.71,53.6,3.36
Cockburn Town,TC,0,1540523180,100,21.46,-71.14,82.11,13.47
Longyearbyen,NO,40,1540518600,63,78.22,15.63,28.4,9.17
Dabakala,CI,8,1540523180,88,8.36,-4.43,75.32,6.31
Clarence Town,AU,40,1540521000,64,-32.59,151.78,71.6,23.04
Goure,NE,0,1540523181,55,13.98,10.27,67.67,2.73
Den Helder,NL,75,1540522680,82,52.96,4.76,55.4,13.87
Shenkursk,RU,92,1540523181,88,62.11,42.91,30.63,4.74
Zaros,GR,20,1540520400,59,35.13,24.9,60.8,10.29
Pemberton,AU,32,1540523182,63,-34.44,116.03,69.92,11.23
Hibbing,US,75,1540521300,100,47.43,-92.94,46.4,3.36
Saldanha,PT,92,1540523033,85,41.42,-6.55,40.26,2.62
Saint-Pierre,FR,90,1540521000,100,48.95,4.24,41.0,2.24
Rafaela,AR,88,1540523157,77,-31.25,-61.49,68.03,9.44
Kaitangata,NZ,68,1540523183,77,-46.28,169.85,53.54,5.97
Lompoc,US,1,1540521300,77,34.64,-120.46,62.6,4.7
Liwonde,MW,0,1540523183,100,-15.05,35.2,58.44,4.63
Pacifica,US,1,1540521300,72,37.61,-122.49,69.8,4.41
Nikolskoye,RU,75,1540521000,92,59.7,30.79,30.2,2.24
Gamba,CN,0,1540523184,63,28.28,88.52,13.89,2.39
Kununurra,AU,0,1540521000,37,-15.77,128.74,96.8,5.82
Namatanai,PG,92,1540522598,100,-3.66,152.44,78.47,8.77
Polovinnoye,RU,0,1540523253,68,54.79,65.99,44.31,16.93
Workington,GB,92,1540523186,98,54.64,-3.55,47.01,20.07
Shelburne,CA,90,1540519200,93,44.08,-80.2,41.0,2.24
Faanui,PF,0,1540523186,99,-16.48,-151.75,81.62,11.68
Le Vauclin,MQ,0,1540521000,88,14.55,-60.84,75.2,3.36
Oxelosund,SE,0,1540522200,100,58.67,17.1,28.4,4.7
Atyrau,KZ,40,1540521000,100,47.1,51.92,51.8,11.18
Ilulissat,GL,0,1540522200,43,69.22,-51.1,15.8,13.87
San Andres,PH,32,1540523188,100,13.32,122.68,80.85,12.91
Eirunepe,BR,12,1540523188,90,-6.66,-69.87,77.88,2.17
Buchanan,LR,75,1540521000,94,5.88,-10.05,77.0,7.99
Trinidad,UY,36,1540519200,87,-33.52,-56.9,57.2,6.93
Nouadhibou,MR,20,1540519200,83,20.93,-17.03,73.4,10.29
Penzance,GB,80,1540518600,81,50.12,-5.53,51.8,12.75
Fukue,JP,20,1540521000,68,35.03,136.69,68.0,4.7
Pangai,TO,90,1540519200,94,-19.8,-174.35,75.2,8.05
Chuy,UY,48,1540523141,93,-33.69,-53.46,59.34,9.78
Rockland,US,90,1540522560,64,42.13,-70.92,42.8,9.17
Okakarara,NA,24,1540523191,89,-20.59,17.46,49.31,2.17
Fort Smith,US,90,1540522500,93,35.39,-94.42,53.6,5.82
Fortuna,ES,20,1540522800,93,38.18,-1.13,57.2,2.24
Noumea,NC,32,1540521000,43,-22.28,166.46,89.6,11.41
Beringovskiy,RU,0,1540523192,100,63.05,179.32,24.96,19.28
Teacapan,MX,64,1540523193,94,22.54,-105.74,71.76,2.39
Pedernales,EC,36,1540523193,92,0.07,-80.05,70.23,5.97
Iqaluit,CA,75,1540520160,79,63.75,-68.52,23.0,9.17
Sam Roi Yot,TH,20,1540519200,83,12.21,99.86,82.4,9.17
Mopipi,BW,56,1540523193,36,-21.2,24.86,65.73,10.56
Nurota,UZ,40,1540521000,25,40.56,65.69,64.4,16.11
Ixtapa,MX,20,1540518300,94,20.71,-105.21,80.6,4.7
Santa Rita,VE,8,1540523195,98,10.21,-67.56,69.29,2.51
Torbay,CA,90,1540519200,93,47.66,-52.73,46.4,26.4
Havoysund,NO,75,1540518600,100,71.0,24.66,35.6,14.99
Kodiak,US,90,1540522380,100,39.95,-94.76,48.2,5.82
Ancud,CL,88,1540523097,88,-41.87,-73.83,47.46,4.41
Matagami,NG,8,1540523196,92,9.67,8.4,65.33,2.17
Coahuayana,MX,24,1540523196,69,18.62,-100.35,69.78,1.95
Narsaq,GL,92,1540522200,63,60.91,-46.05,28.4,2.24
Bol,TD,0,1540523197,62,13.47,14.72,74.19,3.74
Lotoshino,RU,8,1540523197,88,56.23,35.64,26.49,4.97
Coquimbo,CL,0,1540519200,93,-29.95,-71.34,53.6,7.2
Vangaindrano,MG,56,1540523197,95,-23.35,47.6,60.69,2.06
Monjaras,HN,0,1540523198,88,13.2,-87.37,83.19,7.09
College,US,90,1540519080,67,64.86,-147.8,39.2,5.82
Los Llanos de Aridane,ES,24,1540521000,64,28.66,-17.92,68.0,4.7
Kavaratti,IN,12,1540523155,100,10.57,72.64,84.32,4.18
Sola,NO,75,1540520400,87,58.89,5.65,42.8,3.36
Shenjiamen,CN,8,1540523198,97,29.96,122.3,68.66,20.51
Port Keats,AU,0,1540523199,69,-14.25,129.55,93.32,5.75
Aleksandrovsk-Sakhalinskiy,RU,0,1540523199,80,50.9,142.16,43.14,11.01
Khvoynaya,RU,92,1540522918,97,58.9,34.53,29.69,4.85
Kamina,CD,100,1540523199,35,-8.74,25.0,81.71,11.01
Tevriz,RU,0,1540523200,90,57.51,72.4,37.52,8.21
Carutapera,BR,32,1540522674,86,-1.2,-46.02,79.64,9.78
Rochelle,US,40,1540521300,75,41.92,-89.07,46.4,4.7
Ewa Beach,US,20,1540519020,58,21.32,-158.01,86.0,6.93
San Patricio,PY,76,1540523109,84,-26.98,-56.83,73.65,3.62
Dicabisagan,PH,48,1540523200,99,17.08,122.42,79.46,8.43
Salalah,OM,0,1540518600,64,17.01,54.1,75.2,4.7
Lagoa,PT,20,1540521000,82,37.14,-8.45,66.2,4.7
Roebourne,AU,0,1540522978,28,-20.77,117.15,89.18,12.01
Quang Ngai,VN,48,1540523202,81,15.12,108.8,78.74,2.95
Nyimba,ZM,44,1540523202,59,-14.56,30.81,65.01,5.3
Hamilton,BM,20,1540518900,49,32.3,-64.78,69.8,8.05
Karratha,AU,0,1540522981,28,-20.74,116.85,89.18,12.01
Sangin,AF,0,1540523203,79,32.07,64.85,53.81,3.96
Fuling,CN,92,1540523203,100,29.71,107.39,62.85,2.95
Bijie,CN,88,1540523203,96,27.3,105.3,53.99,3.62
Pisco,PE,0,1540519200,88,-13.71,-76.2,62.6,9.17
Xinqing,CN,88,1540523204,69,48.28,129.53,42.92,8.88
Banda Aceh,ID,8,1540523204,92,5.56,95.32,80.94,2.73
Acapulco,MX,20,1540518360,78,16.86,-99.88,82.4,5.82
Hasaki,JP,75,1540521000,60,35.73,140.83,68.0,8.05
Warmbad,DE,68,1540520400,93,50.67,13.08,48.2,4.7
Mopti,ML,0,1540523205,75,14.49,-4.19,74.01,2.84
Sorland,NO,20,1540522200,92,67.67,12.69,30.2,4.7
Aubenas,FR,90,1540521000,76,44.62,4.39,55.4,6.93
Torres,BR,88,1540523206,100,-29.34,-49.73,66.54,10.45
Te Anau,NZ,56,1540523111,84,-45.41,167.72,50.93,3.29
Terra Rica,BR,92,1540523208,99,-22.73,-52.62,70.05,6.31
Tosya,TR,8,1540523208,79,41.02,34.04,24.69,2.62
Harper,US,1,1540520100,93,30.3,-99.24,60.8,3.06
Biak,ID,0,1540523208,66,-0.91,122.88,88.19,6.42
Linxia,CN,0,1540523209,73,35.6,103.21,37.2,3.29
Kaeo,NZ,8,1540523209,48,-35.1,173.78,71.63,12.68
Mitsamiouli,KM,8,1540523209,100,-11.38,43.28,75.86,9.66
Misratah,LY,0,1540523100,100,32.38,15.09,63.48,3.62
Camapua,BR,64,1540523210,91,-19.53,-54.04,70.14,2.84
Sagay,PH,24,1540523210,86,10.9,123.42,84.41,6.87
Klaksvik,FO,88,1540520400,100,62.23,-6.59,39.2,17.22
Rumoi,JP,75,1540519200,76,43.93,141.67,51.8,4.7
Dondo,MZ,20,1540519200,88,-19.62,34.74,68.0,5.82
Yerofey Pavlovich,RU,48,1540523211,50,53.97,121.97,29.28,7.87
Turukhansk,RU,92,1540523212,90,65.8,87.96,27.17,9.1
Gunnedah,AU,0,1540521000,18,-30.98,150.25,80.6,13.87
Drumheller,CA,64,1540523212,63,51.47,-112.7,38.87,3.18
Brisbane,AU,20,1540521000,69,-27.47,153.02,93.2,14.99
Ust-Uda,RU,92,1540522571,97,54.17,103.03,35.13,5.97
San Cristobal,EC,75,1540519200,87,-0.39,-78.55,55.4,6.93
Atagay,RU,32,1540523195,67,55.1,99.39,37.74,7.65
Saint Anthony,US,1,1540518960,70,43.97,-111.68,46.4,8.05
Takoradi,GH,48,1540523213,100,4.89,-1.75,77.79,6.42
Saint-Francois,FR,90,1540521000,93,46.42,3.91,44.6,2.62
Naze,NG,20,1540523214,97,5.43,7.07,72.3,3.29
Kahului,US,75,1540518960,78,20.89,-156.47,80.6,17.22
Gazojak,TM,0,1540523214,60,41.19,61.4,56.1,11.9
Jalu,LY,0,1540523214,81,29.03,21.55,60.6,6.76
Juneau,US,90,1540518960,81,58.3,-134.42,46.4,13.87
Bilibino,RU,0,1540523215,72,68.06,166.44,0.26,2.28
Thessalon,CA,90,1540522020,93,46.26,-83.55,44.6,7.43
Ust-Nera,RU,88,1540523215,86,64.57,143.24,12.45,2.39
Ferme-Neuve,CA,56,1540522437,100,46.7,-75.45,28.34,4.97
Lae,PG,75,1540519200,49,-6.72,146.98,89.6,5.82
Vestmannaeyjar,IS,0,1540523216,100,63.44,-20.27,36.71,20.51
Otane,NZ,88,1540523217,63,-39.89,176.62,59.66,3.74
Lubbock,US,1,1540520100,71,33.58,-101.86,57.2,8.05
Mount Gambier,AU,68,1540523073,80,-37.83,140.78,60.38,3.96
Kargil,PK,0,1540523217,66,34.56,76.13,-7.17,1.61
Atasu,KZ,0,1540523218,69,48.68,71.64,24.83,2.95
Hermiston,US,90,1540522380,66,45.84,-119.29,55.4,4.7
Itigi,TZ,8,1540523218,85,-5.7,34.5,60.78,8.1
Barrow,AR,20,1540523218,92,-38.31,-60.23,48.54,8.66
Portland,US,90,1540522380,100,45.52,-122.67,55.4,11.41
Rawson,AR,8,1540523177,93,-43.3,-65.11,49.8,10.67
Meshcherino,RU,90,1540521000,74,55.2,38.36,33.8,13.42
Ishigaki,JP,20,1540519200,69,24.34,124.16,78.8,5.82
Sobolevo,RU,88,1540523220,95,54.43,31.9,33.38,5.75
Huarmey,PE,36,1540523220,88,-10.07,-78.15,55.52,3.85
Galle,US,1,1540522560,93,29.74,-97.91,57.2,3.06
Bakchar,RU,0,1540523220,87,57.02,82.07,30.99,5.41
Kloulklubed,PW,75,1540522200,74,7.04,134.26,86.0,13.87
Marawi,PH,32,1540523221,83,8.0,124.29,77.61,3.06
Bandarbeyla,SO,92,1540523221,99,9.49,50.81,76.98,4.85
Pringsewu,ID,0,1540523222,71,-5.36,104.98,85.31,3.06
Valparaiso,US,90,1540521900,61,41.47,-87.06,48.2,4.7
Aras,YE,0,1540523222,77,14.28,44.38,37.74,1.39
Muisne,EC,64,1540523222,97,0.61,-80.02,69.15,3.85
Bangassou,CF,92,1540523222,100,4.74,22.82,69.29,2.39
Altay,CN,0,1540523223,55,47.83,88.13,19.56,2.84
Hilo,US,75,1540519860,74,19.71,-155.08,80.6,11.41
Port-Gentil,GA,36,1540523223,100,-0.72,8.78,77.88,5.97
North Bend,US,75,1540522560,87,43.41,-124.22,59.0,6.93
Codrington,AU,0,1540523224,54,-28.95,153.24,83.87,3.62
Machachi,EC,75,1540519200,87,-0.51,-78.57,55.4,6.93
Salinas,US,1,1540521300,52,36.67,-121.66,68.0,6.93
Ugoofaaru,MV,88,1540523225,100,5.67,73.0,82.16,9.66
Seoul,KR,90,1540522800,76,37.57,126.98,57.2,10.29
Nassjo,SE,8,1540522200,95,57.65,14.7,32.0,2.62
Nemuro,JP,40,1540519200,54,43.32,145.57,55.4,4.7
Palmer,AU,20,1540521000,59,-34.85,139.16,66.2,17.22
Merauke,ID,0,1540523226,56,-8.49,140.4,91.16,11.45
Ellisras,ZA,8,1540523022,54,-23.67,27.74,53.63,3.96
Kamaishi,JP,0,1540519200,62,39.28,141.86,57.2,1.12
Cavalcante,BR,0,1540523227,94,-13.79,-47.46,66.54,3.62
Moron,VE,80,1540523227,92,10.49,-68.2,70.14,2.39
Juba,EE,90,1540518600,100,57.82,26.93,35.6,4.7
Pilot Butte,CA,20,1540521480,74,50.48,-104.42,35.6,10.29
Jumla,NP,0,1540523228,73,29.28,82.18,30.45,2.17
Nizhniy Odes,RU,88,1540523228,96,63.64,54.86,37.83,4.18
Tiarei,PF,75,1540521000,69,-17.53,-149.33,82.4,3.36
Bubaque,GW,20,1540519200,88,11.28,-15.83,80.6,5.82
Isangel,VU,8,1540523090,99,-19.55,169.27,76.89,11.56
Hovd,NO,75,1540522200,93,63.83,10.7,37.4,6.53
Gizo,IL,75,1540521000,56,31.8,34.94,71.6,31.09
Manggar,ID,12,1540523230,79,-2.88,108.27,87.92,5.75
Eyl,SO,68,1540522679,100,7.98,49.82,75.59,2.95
Claremore,US,90,1540522500,93,36.31,-95.62,51.8,5.64
Ullapool,GB,88,1540523231,100,57.9,-5.16,44.81,16.82
Bathsheba,BB,20,1540519200,88,13.22,-59.52,77.0,3.36
Beyneu,KZ,68,1540523231,38,45.32,55.19,70.5,17.83
Sayyan,YE,0,1540523231,77,15.17,44.32,39.41,1.83
Anadyr,RU,0,1540521000,85,64.73,177.51,14.0,11.18
Impfondo,CD,88,1540523232,97,1.62,18.06,72.08,2.62
Barahona,DO,24,1540523232,100,18.21,-71.1,81.21,8.99
Nome,US,90,1540520100,77,30.04,-94.42,62.6,8.05
Hefei,CN,0,1540519200,42,31.82,117.22,64.4,15.66
Elizabeth City,US,1,1540522740,75,36.3,-76.22,50.0,3.62
Am Timan,TD,44,1540523233,84,11.04,20.28,70.46,2.84
Jabinyanah,TN,0,1540519200,82,35.03,10.91,60.8,3.36
Loandjili,CG,75,1540519200,100,-4.77,11.87,73.4,6.93
Boa Vista,BR,0,1540522800,65,2.82,-60.67,82.4,4.7
Russell,AR,40,1540519200,45,-33.01,-68.8,68.0,5.82
Galesong,ID,0,1540523236,78,-5.32,119.37,87.33,6.87
Axim,GH,32,1540523236,100,4.87,-2.24,79.41,8.77
Chapais,CA,90,1540519200,73,49.78,-74.86,21.2,4.7
Forestville,CA,75,1540519200,100,48.74,-69.09,32.0,24.16
La Palma,CO,64,1540523306,95,5.36,-74.39,68.66,0.94
Port Blair,IN,68,1540523307,100,11.67,92.75,83.33,8.21
Pierre,US,1,1540522380,75,44.37,-100.35,44.6,10.29
Walvis Bay,NA,0,1540519200,64,-22.95,14.51,69.8,6.93
Chiapa,MX,56,1540523308,97,18.47,-96.95,55.11,1.16
Santiago,CL,75,1540519200,51,-33.44,-70.65,60.8,5.82
Pilar,AR,75,1540519200,82,-34.46,-58.91,64.4,4.7
Seymchan,RU,92,1540523309,93,62.93,152.39,14.16,3.85
Salym,RU,24,1540523310,90,60.06,71.48,38.55,11.56
Birao,CF,8,1540523310,82,10.3,22.78,71.49,2.95
Vardo,US,1,1540522500,93,39.62,-77.74,44.6,2.17
San Jeronimo,PE,92,1540523310,90,-13.65,-73.37,45.75,1.95
Obregon,US,1,1540519020,25,32.86,-114.79,84.2,3.36
Gourcy,BF,24,1540523311,71,13.21,-2.36,76.94,3.4
Jinchang,CN,0,1540523311,75,38.52,102.19,37.56,3.96
Opopeo,MX,8,1540523312,78,19.41,-101.61,58.76,2.28
